         4250359 function calls (3961221 primitive calls) in 47.377 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      383    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      383    0.015    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      383    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      621    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
    37/36    0.000    0.000    0.089    0.002 <frozen importlib._bootstrap_external>:919(create_module)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      572    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:960(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:980(_recalculate)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       16    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Indexing)
        1    0.000    0.000    0.000    0.000 <string>:5(Loop)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Partition)
        1    0.000    0.000    0.000    0.000 <string>:5(QuicksortImplementation)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SetLoop)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Status)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_ArrayHelper)
        1    0.000    0.000    0.000    0.000 <string>:5(_ArrayIndexingHelper)
        1    0.000    0.000    0.000    0.000 <string>:5(_BoxContext)
        1    0.000    0.000    0.000    0.000 <string>:5(_CompileResult)
        1    0.000    0.000    0.000    0.000 <string>:5(_CompileStats)
        1    0.000    0.000    0.000    0.000 <string>:5(_ForIterLoop)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_IteratorLoop)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
